时间,日期,总业务量
2019/12/15,15:00,1361555
2019/12/15,15:30,1344403
2019/12/15,16:00,1364654
2019/12/15,16:30,1303317
2019/12/15,17:00,1338745
2019/12/15,17:30,1309484
2019/12/15,18:00,1293224
2019/12/15,18:30,1314447
2019/12/15,19:00,1340062
2019/12/15,19:30,1336760
2019/12/15,20:00,1345600
2019/12/15,20:30,1329682
2019/12/15,21:00,1294859
2019/12/15,21:30,1261660
2019/12/15,22:00,1207735
2019/12/15,22:30,1102896
2019/12/15,23:00,932950
2019/12/15,23:30,745163
2019/12/16,0:00,653053
2019/12/16,0:30,458214
2019/12/16,1:00,332808
2019/12/16,1:30,259131
2019/12/16,2:00,211593
2019/12/16,2:30,182440
2019/12/16,3:00,165685
2019/12/16,3:30,158103
2019/12/16,4:00,161566
2019/12/16,4:30,180119
2019/12/16,5:00,234452
2019/12/16,5:30,328462
2019/12/16,6:00,485227
2019/12/16,6:30,647563
2019/12/16,7:00,832980
2019/12/16,7:30,929187
2019/12/16,8:00,1100546
2019/12/16,8:30,1186156
2019/12/16,9:00,1316783
2019/12/16,9:30,1400584
2019/12/16,10:00,1430797
2019/12/16,10:30,1538270
2019/12/16,11:00,1563972
2019/12/16,11:30,1510477
2019/12/16,12:00,1605072
2019/12/16,12:30,1647739
2019/12/16,13:00,1443000
2019/12/16,13:30,1412102
2019/12/16,14:00,1477390
2019/12/16,14:30,1494899
2019/12/16,15:00,1520345
2019/12/16,15:30,1555950
2019/12/16,16:00,1544201
2019/12/16,16:30,1516113
2019/12/16,17:00,1401584
2019/12/16,17:30,1431032
2019/12/16,18:00,1403595
2019/12/16,18:30,1395816
2019/12/16,19:00,1431483
2019/12/16,19:30,1389559
2019/12/16,20:00,1395600
2019/12/16,20:30,1367011
2019/12/16,21:00,1344943
2019/12/16,21:30,1303879
2019/12/16,22:00,1175106
2019/12/16,22:30,1102794
2019/12/16,23:00,929555
2019/12/16,23:30,741309
2019/12/17,0:00,631606
2019/12/17,0:30,427974
2019/12/17,1:00,314589
2019/12/17,1:30,238733
2019/12/17,2:00,198353
2019/12/17,2:30,170082
2019/12/17,3:00,156135
2019/12/17,3:30,148944
2019/12/17,4:00,155358
2019/12/17,4:30,170691
2019/12/17,5:00,230739
2019/12/17,5:30,318833
2019/12/17,6:00,480758
2019/12/17,6:30,657517
2019/12/17,7:00,853956
