   ,,日期,时间,业务量
778,,20191117,430,7405
779,,20191117,500,8357
780,,20191117,530,10876
781,,20191117,600,16442
782,,20191117,630,27574
783,,20191117,700,40909
784,,20191117,730,53675
785,,20191117,800,61500
786,,20191117,830,62312
787,,20191117,900,71502
788,,20191117,930,67892
789,,20191117,1000,76519
790,,20191117,1030,69627
791,,20191117,1100,71039
792,,20191117,1130,68539
793,,20191117,1200,73600
794,,20191117,1230,65325
795,,20191117,1300,71086
796,,20191117,1330,62103
797,,20191117,1400,61051
798,,20191117,1430,61079
799,,20191117,1500,55478
800,,20191117,1530,53444
801,,20191117,1600,57265
802,,20191117,1630,52912
803,,20191117,1700,54113
804,,20191117,1730,57088
805,,20191117,1800,58930
806,,20191117,1830,60523
807,,20191117,1900,58569
808,,20191117,1930,64479
809,,20191117,2000,60696
810,,20191117,2030,54423
811,,20191117,2100,62733
812,,20191117,2130,58618
813,,20191117,2200,58442
814,,20191117,2230,50273
815,,20191117,2300,47443
816,,20191117,2330,38995
817,,20191118,0,41846
818,,20191118,30,24409
819,,20191118,100,19252
820,,20191118,130,13977
821,,20191118,200,11514
822,,20191118,230,8902
823,,20191118,300,7609
824,,20191118,330,6552
825,,20191118,400,6560
826,,20191118,430,6154
827,,20191118,500,7761
828,,20191118,530,10747
829,,20191118,600,16846
830,,20191118,630,28934
831,,20191118,700,41515
832,,20191118,730,48886
833,,20191118,800,56651
834,,20191118,830,54790
835,,20191118,900,56709
836,,20191118,930,58437
837,,20191118,1000,59754
838,,20191118,1030,56542
839,,20191118,1100,49122
840,,20191118,1130,57317
841,,20191118,1200,65413
842,,20191118,1230,62944
843,,20191118,1300,54701
844,,20191118,1330,52011
845,,20191118,1400,51161
846,,20191118,1430,48461
847,,20191118,1500,48372
848,,20191118,1530,44263
849,,20191118,1600,42980
850,,20191118,1630,47568
851,,20191118,1700,49534
852,,20191118,1730,53352
853,,20191118,1800,55839
854,,20191118,1830,58934
855,,20191118,1900,60610
856,,20191118,1930,60489
857,,20191118,2000,65973
858,,20191118,2030,63840
859,,20191118,2100,58232
860,,20191118,2130,61486
861,,20191118,2200,59795
862,,20191118,2230,54173
863,,20191118,2300,45808
864,,20191118,2330,40368
865,,20191119,0,42199
866,,20191119,30,26317
867,,20191119,100,18438
868,,20191119,130,14970
869,,20191119,200,11552
870,,20191119,230,9326
871,,20191119,300,7964
872,,20191119,330,7321
873,,20191119,400,7335
874,,20191119,430,7336
875,,20191119,500,8015
876,,20191119,530,10418
877,,20191119,600,17619
878,,20191119,630,29369
879,,20191119,700,42373
880,,20191119,730,53880
881,,20191119,800,58584
882,,20191119,830,61914
883,,20191119,900,62511
884,,20191119,930,58772
885,,20191119,1000,61805
886,,20191119,1030,57424
887,,20191119,1100,51846
